census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.34323722077902036,20.1,2015
20,General and operations managers,0.3432482076198377,20.1,2015
30,Legislators,0.3432471064840768,20.1,2015
40,Advertising and promotions managers,0.36477167705395863,20.1,2015
50,Marketing and sales managers,0.32703735302256726,20.1,2015
60,Public relations and fundraising managers,0.34143155694879834,20.1,2015
100,Administrative services managers,0.3663841101743062,20.1,2015
110,Computer and information systems managers,0.3402784954014674,20.1,2015
120,Financial managers,0.34628518310238166,20.1,2015
135,Compensation and benefits managers,0.3523847339655253,20.1,2015
136,Human resources managers,0.3270259152612094,20.1,2015
137,Training and development managers,0.33150728462181456,20.1,2015
140,Industrial production managers,0.3397722031139918,20.1,2015
150,Purchasing managers,0.3390862211964949,20.1,2015
160,"Transportation, storage, and distribution managers",0.3457058685977856,20.1,2015
205,"Farmers, ranchers, and other agricultural managers",0.34293223740382467,20.1,2015
220,Construction managers,0.35227043741097175,20.1,2015
230,Education administrators,0.33889145744830357,20.1,2015
300,Architectural and engineering managers,0.35425590442894267,20.1,2015
310,Food service managers,0.3265562199784335,20.1,2015
325,Funeral service managers,0.3495462321319841,20.1,2015
330,Gaming managers,0.3431696803751999,20.1,2015
340,Lodging managers,0.33632570247301125,20.1,2015
350,Medical and health services managers,0.33872520448725923,20.1,2015
360,Natural sciences managers,0.36069611804231166,20.1,2015
400,Postmasters and mail superintendents,0.3539747870135851,20.1,2015
410,"Property, real estate, and community association managers",0.35107363247982576,20.1,2015
420,Social and community service managers,0.3411288480572545,20.1,2015
425,Emergency management directors,0.33964874524422584,20.1,2015
430,"Managers, all other",0.34696765022018067,20.1,2015
500,"Agents and business managers of artists, performers, and athletes",0.3442505544603253,20.1,2015
510,"Buyers and purchasing agents, farm products",0.3516048824593128,20.1,2015
520,"Wholesale and retail buyers, except farm products",0.35964561257483113,20.1,2015
530,"Purchasing agents, except wholesale, retail, and farm products",0.35241965275212406,20.1,2015
540,"Claims adjusters, appraisers, examiners, and investigators",0.3763061298250714,20.1,2015
565,Compliance officers,0.36164334753237526,20.1,2015
600,Cost estimators,0.3587241078399853,20.1,2015
630,Human resources workers,0.3478109595808846,20.1,2015
640,"Compensation, benefits, and job analysis specialists",0.3683799167445417,20.1,2015
650,Training and development specialists,0.3362288715827616,20.1,2015
700,Logisticians,0.3558693803728293,20.1,2015
710,Management analysts,0.3635055740214456,20.1,2015
725,"Meeting, convention, and event planners",0.34127219949258303,20.1,2015
726,Fundraisers,0.3453222963475312,20.1,2015
735,Market research analysts and marketing specialists,0.36376887512241785,20.1,2015
740,"Business operations specialists, all other",0.3589907963938876,20.1,2015
800,Accountants and auditors,0.3706160546288816,20.1,2015
810,Appraisers and assessors of real estate,0.3879408561841108,20.1,2015
820,Budget analysts,0.38527357139757884,20.1,2015
830,Credit analysts,0.3641391240531544,20.1,2015
840,Financial analysts,0.36689587426326126,20.1,2015
850,Personal financial advisors,0.3642827751990587,20.1,2015
860,Insurance underwriters,0.3784351894261597,20.1,2015
900,Financial examiners,0.36058212996389893,20.1,2015
