census_code,occupation_title,high_pd,any_pd,dwc,difficult,onet_version,oews_year,offshorability
10,Chief executives,0.0,0.0,0.0,0.0,25.1,2022,0.46866226
20,General and operations managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
30,Legislators,0.0,0.0,0.0,0.0,25.1,2022,
40,Advertising and promotions managers,0.0,0.0,0.0,0.0,25.1,2022,0.32495964
51,Marketing managers,0.0,0.0,0.0,0.0,25.1,2022,
52,Sales managers,0.0,0.0,0.0,0.0,25.1,2022,
60,Public relations and fundraising managers,0.0,0.0,0.0,0.0,25.1,2022,0.32495964
101,Administrative services managers,0.0,0.0,0.0,0.0,25.1,2022,
102,Facilities managers,0.0,0.0,0.0,0.0,25.1,2022,
110,Computer and information systems managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
120,Financial managers,0.0,0.0,0.0,0.0,25.1,2022,0.47275448
135,Compensation and benefits managers,0.0,0.0,0.0,0.0,25.1,2022,1.1813816
136,Human resources managers,0.0,0.0,0.0,0.0,25.1,2022,1.1813816
137,Training and development managers,0.0,0.0,0.0,0.0,25.1,2022,1.1813816
140,Industrial production managers,0.0,0.0,0.8333333333333334,0.8333333333333334,25.1,2022,-0.14223063
150,Purchasing managers,0.0,0.0,0.0,0.0,25.1,2022,0.9856056
160,"Transportation, storage, and distribution managers",0.0,0.0,0.0,0.0,25.1,2022,0.71980846
205,"Farmers, ranchers, and other agricultural managers",0.0,0.0,1.0,1.0,25.1,2022,-0.1618563
220,Construction managers,0.0,0.0,1.0,1.0,25.1,2022,-0.14223063
230,Education and childcare administrators ,0.0,0.0,0.0,0.0,25.1,2022,-1.1653323
300,Architectural and engineering managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
310,Food service managers,0.0,1.0,0.0,1.0,25.1,2022,-0.14223063
325,Funeral home managers,0.0,0.0,0.0,0.0,25.1,2022,
335,Entertainment and recreation managers,0.0,0.0,0.0,0.0,25.1,2022,
340,Lodging managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
350,Medical and health services managers,0.0,0.0,0.0,0.0,25.1,2022,-2.188437
360,Natural sciences managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
400,Postmasters and mail superintendents,0.0,0.0,0.0,0.0,25.1,2022,
410,"Property, real estate, and community association managers",0.0,0.0,0.0,0.0,25.1,2022,0.4990003
420,Social and community service managers,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
425,Emergency management directors,0.0,0.0,0.0,0.0,25.1,2022,0.0085452795
426,"Personal service managers, all other",0.0,0.0,0.0,0.0,25.1,2022,
440,"Managers, all other",0.0,0.0,0.0,0.0,25.1,2022,
500,"Agents and business managers of artists, performers, and athletes",0.0,0.0,0.0,0.0,25.1,2022,0.7345849
510,"Buyers and purchasing agents, farm products",0.0,0.0,0.0,0.0,25.1,2022,0.7120725
520,"Wholesale and retail buyers, except farm products",0.0,0.0,0.0,0.0,25.1,2022,1.1786948
530,"Purchasing agents, except wholesale, retail, and farm products",0.0,0.0,0.0,0.0,25.1,2022,0.9856056
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,0.0,0.03852376137512639,0.03852376137512639,25.1,2022,1.7648889
565,Compliance officers,0.0,0.0,0.0,0.0,25.1,2022,-0.057901263
600,Cost estimators,0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
630,Human resources workers,0.0,0.0,0.0006123971451158544,0.0006123971451158544,25.1,2022,0.63267636
640,"Compensation, benefits, and job analysis specialists",0.0,0.0,0.0,0.0,25.1,2022,0.63267636
650,Training and development specialists,0.0,0.0,0.0,0.0,25.1,2022,0.63267636
700,Logisticians,0.0,0.0,0.0,0.0,25.1,2022,2.7579606
705,Project management specialists,0.0,0.0,0.0,0.0,25.1,2022,
710,Management analysts,0.0,0.0,0.0,0.0,25.1,2022,-0.052943587
725,"Meeting, convention, and event planners",0.0,0.0,0.0,0.0,25.1,2022,-0.14223063
726,Fundraisers,0.0,0.0,0.0,0.0,25.1,2022,1.5643047
735,Market research analysts and marketing specialists,0.0,0.0,0.0,0.0,25.1,2022,2.1586444
750,"Business operations specialists, all other",0.0,0.0,0.0,0.0,25.1,2022,
800,Accountants and auditors,0.0,0.0,0.0,0.0,25.1,2022,1.9673074
810,Property appraisers and assessors,0.0,0.0,0.0,0.0,25.1,2022,-0.07501614
820,Budget analysts,0.0,0.0,0.0,0.0,25.1,2022,1.3725127
830,Credit analysts,0.0,0.0,0.0,0.0,25.1,2022,1.3725127
845,Financial and investment analysts,0.0,0.0,0.0,0.0,25.1,2022,
850,Personal financial advisors,0.0,0.0,0.0,0.0,25.1,2022,1.3725127
860,Insurance underwriters,0.0,0.0,0.0,0.0,25.1,2022,2.551788
900,Financial examiners,0.0,0.0,0.0,0.0,25.1,2022,-0.057901263
910,Credit counselors and loan officers,0.0,0.0,0.0,0.0,25.1,2022,1.3725127
930,"Tax examiners and collectors, and revenue agents",0.0,0.0,0.0,0.0,25.1,2022,1.9673074
940,Tax preparers,0.0,0.0,0.0,0.0,25.1,2022,1.3725127
960,Other financial specialists,0.0,0.0,0.0,0.0,25.1,2022,
1005,Computer and information research scientists,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1006,Computer systems analysts,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1007,Information security analysts,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1010,Computer programmers,0.0,0.0,0.0,0.0,25.1,2022,2.6609855
1021,Software developers,0.0,0.1720342437831227,0.0,0.1720342437831227,25.1,2022,
1022,Software quality assurance analysts and testers,0.0,0.0,0.0,0.0,25.1,2022,
1031,Web developers,0.0,1.0,0.0,1.0,25.1,2022,
1032,Web and digital interface designers,0.0,0.0,0.0,0.0,25.1,2022,
1050,Computer support specialists,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1065,Database administrators and architects,0.0,0.0,0.0,0.0,25.1,2022,
1105,Network and computer systems administrators,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1106,Computer network architects,0.0,0.0,0.0,0.0,25.1,2022,0.55302966
1108,"Computer occupations, all other",0.0,0.0,0.0,0.0,25.1,2022,
1200,Actuaries,0.0,0.0,0.0,0.0,25.1,2022,2.5070732
1210,Mathematicians,0.0,0.0,0.0,0.0,25.1,2022,
1220,Operations research analysts,0.0,0.0,0.0,0.0,25.1,2022,2.7579606
1230,Statisticians,0.0,0.0,0.0,0.0,25.1,2022,
1240,Other mathematical science occupations,0.0,0.0,0.0,0.0,25.1,2022,2.7870965
1305,"Architects, except landscape and naval",0.0,0.0,0.0,0.0,25.1,2022,
1306,Landscape architects,0.0,0.0,0.0,0.0,25.1,2022,
1310,"Surveyors, cartographers, and photogrammetrists",0.0,0.0,0.3913007863695937,0.3913007863695937,25.1,2022,-0.17191468
1320,Aerospace engineers,0.0,0.0,0.0,0.0,25.1,2022,0.9344667
1330,Agricultural engineers,0.0,0.0,0.0,0.0,25.1,2022,
1340,Bioengineers and biomedical engineers,0.0,0.0,0.0,0.0,25.1,2022,0.12239017
1350,Chemical engineers,0.0,0.0,0.0,0.0,25.1,2022,0.38232005
1360,Civil engineers,0.0,0.0,0.0,0.0,25.1,2022,0.10051954
1400,Computer hardware engineers,0.0,0.0,0.0,0.0,25.1,2022,1.3399316
1410,Electrical and electronics engineers,0.0,0.0,0.0,0.0,25.1,2022,1.3399316
1420,Environmental engineers,0.0,0.0,0.0,0.0,25.1,2022,0.12239017
1430,"Industrial engineers, including health and safety ",0.0,0.0,0.0,0.0,25.1,2022,0.50717866
1440,Marine engineers and naval architects,0.0,0.0,0.0,0.0,25.1,2022,0.12239017
1450,Materials engineers,0.0,0.0,0.0,0.0,25.1,2022,0.56463325
1460,Mechanical engineers,0.0,0.0,0.0,0.0,25.1,2022,0.9184209
1500,"Mining and geological engineers, including mining safety engineers",0.0,0.0,0.0,0.0,25.1,2022,
1510,Nuclear engineers,0.0,0.0,0.0,0.0,25.1,2022,
1520,Petroleum engineers,0.0,0.0,0.0,0.0,25.1,2022,2.3023481
1530,"Engineers, all other",0.0,0.0,0.0,0.0,25.1,2022,0.12239017
1541,Architectural and civil drafters,0.0,0.0,0.0,0.0,25.1,2022,
1545,Other drafters,0.0,0.0,0.0,0.0,25.1,2022,
1551,Electrical and electronic engineering technologists and technicians,0.0,0.0,0.0,0.0,25.1,2022,
1555,"Other engineering technologists and technicians, except drafters",0.0,0.0,0.27079172325637135,0.27079172325637135,25.1,2022,
1560,Surveying and mapping technicians,0.0,0.0,0.0,0.0,25.1,2022,-0.17191468
1600,Agricultural and food scientists,0.0,0.0,0.0,0.0,25.1,2022,0.63094676
1610,Biological scientists,0.0,0.0,0.0,0.0,25.1,2022,-0.28231725
1640,Conservation scientists and foresters,0.0,0.0,0.7639533684101929,0.7639533684101929,25.1,2022,-1.1972
1650,Medical scientists,0.0,0.0,0.0,0.0,25.1,2022,-0.44843423
1660,"Life scientists, all other",0.0,0.0,0.07950567974403573,0.07950567974403573,25.1,2022,
1700,Astronomers and physicists,0.0,0.0,0.0,0.0,25.1,2022,1.1379269
1710,Atmospheric and space scientists,0.0,0.0,0.0,0.0,25.1,2022,0.59962904
1720,Chemists and materials scientists,0.0,0.0,0.916775884665793,0.916775884665793,25.1,2022,0.29382718
1745,"Environmental scientists and specialists, including health",0.0,0.0,0.0,0.0,25.1,2022,
1750,"Geoscientists and hydrologists, except geographers",0.0,0.0,0.0,0.0,25.1,2022,
1760,"Physical scientists, all other",0.0,0.0,0.0,0.0,25.1,2022,2.0048308
1800,Economists,0.0,0.0,0.0,0.0,25.1,2022,2.1586444
1815,Survey researchers,0.0,0.0,0.0,0.0,25.1,2022,
1821,Clinical and counseling psychologists,0.0,0.0,0.0,0.0,25.1,2022,
1822,School psychologists,0.0,0.0,0.0,0.0,25.1,2022,
1825,Other psychologists,0.0,0.0,0.0,0.0,25.1,2022,
1830,Sociologists,0.0,0.0,0.0,0.0,25.1,2022,
1840,Urban and regional planners,0.0,0.0,0.0,0.0,25.1,2022,1.7483796
1860,Miscellaneous social scientists and related workers,0.0,0.0,0.0,0.0,25.1,2022,1.487038
1900,Agricultural and food science technicians,0.0,0.5220080029101491,0.0,0.5220080029101491,25.1,2022,1.0691465
1910,Biological technicians,0.0,0.0,0.0,0.0,25.1,2022,1.0691465
1920,Chemical technicians,0.0,1.0,1.0,1.0,25.1,2022,0.31521046
1935,Environmental  science and geoscience technicians,0.0,0.0,0.7871896031561847,0.7871896031561847,25.1,2022,
1940,Nuclear technicians,0.0,0.0,0.5,0.5,25.1,2022,
1950,Social science research assistants,0.0,0.0,0.0,0.0,25.1,2022,
1970,"Other life, physical, and social science technicians",0.0,0.19971623155505108,0.44663734392735527,0.4873581157775255,25.1,2022,
1980,Occupational health and safety specialists and technicians,0.0,0.0,0.0,0.0,25.1,2022,
2001,Substance abuse and behavioral disorder counselors,0.0,0.0,0.0,0.0,25.1,2022,
2002,"Educational, guidance, and career counselors and advisors",0.0,0.0,0.0,0.0,25.1,2022,
2003,Marriage and family therapists,0.0,0.0,0.0,0.0,25.1,2022,
2004,Mental health counselors,0.0,0.0,0.0,0.0,25.1,2022,
2005,Rehabilitation counselors,0.0,0.0,0.0,0.0,25.1,2022,
2006,"Counselors, all other",0.0,0.0,0.0,0.0,25.1,2022,
2011,"Child, family, and school social workers",0.0,0.0,0.0,0.0,25.1,2022,
2012,Healthcare social workers,0.0,0.0,0.0,0.0,25.1,2022,
2013,Mental health and substance abuse social workers,0.0,0.0,0.0,0.0,25.1,2022,
2014,"Social workers, all other",0.0,0.0,0.0,0.0,25.1,2022,
2015,Probation officers and correctional treatment specialists,0.0,0.0,0.0,0.0,25.1,2022,-1.0121664
2016,Social and human service assistants,0.0,0.0,0.0,0.0,25.1,2022,-1.0121664
2025,Other community and social service specialists,0.0,0.0,0.0,0.0,25.1,2022,-1.0121664
2040,Clergy,0.0,0.0,0.0,0.0,25.1,2022,-2.2907472
2050,"Directors, religious activities and education",0.0,0.0,0.0,0.0,25.1,2022,-2.2907472
2060,"Religious workers, all other",0.0,0.0,0.0,0.0,25.1,2022,-2.2907472
2100,Lawyers,0.0,0.0,0.0,0.0,25.1,2022,1.0808032
2105,Judicial law clerks,0.0,0.0,0.0,0.0,25.1,2022,1.0808032
2110,"Judges, magistrates, and other judicial workers",0.0,0.0,0.0,0.0,25.1,2022,
2145,Paralegals and legal assistants,0.0,0.0,0.0,0.0,25.1,2022,1.8841863
2170,"Title examiners, abstractors, and searchers",0.0,0.0,0.0,0.0,25.1,2022,
2180,"Legal support workers, all other",0.0,0.0,0.0,0.0,25.1,2022,
2205,Postsecondary teachers,0.0,0.0,0.0,0.0,25.1,2022,
